kode dapil;jenis dapil;nama dapil;kode wilayah;tingkatan wilayah;nama;is_pecah
3310;DPR RI;JAWA TENGAH X;3375;Kabupaten/Kota;KOTA PEKALONGAN;FALSE
3401;DPR RI;DAERAH ISTIMEWA YOGYAKARTA I;3401;Kabupaten/Kota;KULON PROGO;FALSE
3401;DPR RI;DAERAH ISTIMEWA YOGYAKARTA I;3402;Kabupaten/Kota;BANTUL;FALSE
3401;DPR RI;DAERAH ISTIMEWA YOGYAKARTA I;3403;Kabupaten/Kota;GUNUNGKIDUL;FALSE
3401;DPR RI;DAERAH ISTIMEWA YOGYAKARTA I;3404;Kabupaten/Kota;SLEMAN;FALSE
3401;DPR RI;DAERAH ISTIMEWA YOGYAKARTA I;3471;Kabupaten/Kota;KOTA YOGYAKARTA;FALSE
3501;DPR RI;JAWA TIMUR I;3515;Kabupaten/Kota;SIDOARJO;FALSE
3501;DPR RI;JAWA TIMUR I;3578;Kabupaten/Kota;KOTA SURABAYA;FALSE
3502;DPR RI;JAWA TIMUR II;3513;Kabupaten/Kota;PROBOLINGGO;FALSE
3502;DPR RI;JAWA TIMUR II;3514;Kabupaten/Kota;PASURUAN;FALSE
3502;DPR RI;JAWA TIMUR II;3574;Kabupaten/Kota;KOTA PROBOLINGGO;FALSE
3502;DPR RI;JAWA TIMUR II;3575;Kabupaten/Kota;KOTA PASURUAN;FALSE
3503;DPR RI;JAWA TIMUR III;3510;Kabupaten/Kota;BANYUWANGI;FALSE
3503;DPR RI;JAWA TIMUR III;3511;Kabupaten/Kota;BONDOWOSO;FALSE
3503;DPR RI;JAWA TIMUR III;3512;Kabupaten/Kota;SITUBONDO;FALSE
3504;DPR RI;JAWA TIMUR IV;3508;Kabupaten/Kota;LUMAJANG;FALSE
3504;DPR RI;JAWA TIMUR IV;3509;Kabupaten/Kota;JEMBER;FALSE
3505;DPR RI;JAWA TIMUR V;3507;Kabupaten/Kota;MALANG;FALSE
3505;DPR RI;JAWA TIMUR V;3573;Kabupaten/Kota;KOTA MALANG;FALSE
3505;DPR RI;JAWA TIMUR V;3579;Kabupaten/Kota;KOTA BATU;FALSE
3506;DPR RI;JAWA TIMUR VI;3504;Kabupaten/Kota;TULUNGAGUNG;FALSE
3506;DPR RI;JAWA TIMUR VI;3505;Kabupaten/Kota;BLITAR;FALSE
3506;DPR RI;JAWA TIMUR VI;3506;Kabupaten/Kota;KEDIRI;FALSE
3506;DPR RI;JAWA TIMUR VI;3571;Kabupaten/Kota;KOTA KEDIRI;FALSE
